"","ano","cbo2002","Ocupacao","Vinculos2018","Vinculos2003","Codigo_GG","Grande_Grupo","Diferenca","Variacao"
"1",2018,411010,"assistente administrativo",90703,54637,"4","Serviços Administrativos",36066,66
"2",2018,411005,"auxiliar de escritorio",58322,72130,"4","Serviços Administrativos",-13808,-19.1
"3",2018,231205,"professor da  educacao de jovens e adultos do ensino fundamental (primeira a quarta serie)",47037,28833,"2","Profissionais",18204,63.1
"4",2018,232115,"professor de disciplinas pedagogicas no ensino medio",40967,13836,"2","Profissionais",27131,196.1
"5",2018,111405,"dirigente do servico publico federal",20986,18251,"1","Dirigentes",2735,15
"6",2018,252105,"administrador",18622,5278,"2","Profissionais",13344,252.8
"7",2018,322230,"auxiliar de enfermagem",16293,15420,"3","Técnicos",873,5.7
"8",2018,225125,"medico clinico",12103,24030,"2","Profissionais",-11927,-49.6
"9",2018,515120,"visitador sanitario",10874,5168,"5","Serviços e Comércio",5706,110.4
"10",2018,517210,"policial rodoviario federal",9404,7338,"5","Serviços e Comércio",2066,28.2
"11",2018,223505,"enfermeiro",8822,5001,"2","Profissionais",3821,76.4
"12",2018,352210,"agente de saude publica",7479,10789,"3","Técnicos",-3310,-30.7
"13",2018,212410,"analista de redes e de comunicacao de dados",7419,3987,"2","Profissionais",3432,86.1
"14",2018,254105,"auditor-fiscal da receita federal",7192,8232,"2","Profissionais",-1040,-12.6
"15",2018,322205,"tecnico de enfermagem",6491,3044,"3","Técnicos",3447,113.2
"16",2018,517330,"vigilante",5380,7042,"5","Serviços e Comércio",-1662,-23.6
"17",2018,517205,"agente de policia federal",5246,5172,"5","Serviços e Comércio",74,1.4
"18",2018,254110,"tecnico da receita federal",4861,1566,"2","Profissionais",3295,210.4
"19",2018,782305,"motorista de carro de passeio",4831,6895,"7","Produção e Indústria I",-2064,-29.9
"20",2018,351305,"tecnico em administracao",4405,1996,"3","Técnicos",2409,120.7
"21",2018,412105,"datilografo",4166,6594,"4","Serviços Administrativos",-2428,-36.8
"22",2018,517415,"porteiro de locais de diversao",3851,8797,"5","Serviços e Comércio",-4946,-56.2
"23",2018,352205,"agente de defesa ambiental",3779,2089,"3","Técnicos",1690,80.9
"24",2018,252545,"analista financeiro (instituicoes financeiras)",3768,4448,"2","Profissionais",-680,-15.3
"25",2018,324115,"tecnico em radiologia e imagenologia",3574,1218,"3","Técnicos",2356,193.4
"26",2018,212405,"analista de desenvolvimento de sistemas",3501,773,"2","Profissionais",2728,352.9
"27",2018,261205,"bibliotecario",3416,946,"2","Profissionais",2470,261.1
"28",2018,331305,"professor de nivel medio no ensino profissionalizante",3323,321,"3","Técnicos",3002,935.2
"29",2018,252210,"contador",3092,1046,"2","Profissionais",2046,195.6
"30",2018,251605,"assistente social",3011,1693,"2","Profissionais",1318,77.8
"31",2018,351105,"tecnico de contabilidade",2993,1622,"3","Técnicos",1371,84.5
"32",2018,311105,"tecnico quimico",2558,1243,"3","Técnicos",1315,105.8
"33",2018,317110,"programador de sistemas de informacao",2529,533,"3","Técnicos",1996,374.5
"34",2018,252305,"secretaria(o) executiva(o)",2492,648,"2","Profissionais",1844,284.6
"35",2018,254305,"auditor-fiscal do trabalho",2371,330,"2","Profissionais",2041,618.5
"36",2018,214205,"engenheiro civil",2307,1497,"2","Profissionais",810,54.1
"37",2018,239415,"pedagogo",2209,275,"2","Profissionais",1934,703.3
"38",2018,241215,"procurador da fazenda nacional",2178,980,"2","Profissionais",1198,122.2
"39",2018,514320,"faxineiro",1830,342,"5","Serviços e Comércio",1488,435.1
"40",2018,223405,"farmaceutico",1810,920,"2","Profissionais",890,96.7
"41",2018,410105,"supervisor administrativo",1769,679,"4","Serviços Administrativos",1090,160.5
"42",2018,233115,"professor de tecnicas agricolas",1756,165,"2","Profissionais",1591,964.2
"43",2018,251510,"psicologo clinico",1643,836,"2","Profissionais",807,96.5
"44",2018,351420,"escrivao de policia",1637,1432,"3","Técnicos",205,14.3
"45",2018,223710,"nutricionista",1631,641,"2","Profissionais",990,154.4
"46",2018,371105,"auxiliar de biblioteca",1578,521,"3","Técnicos",1057,202.9
"47",2018,242305,"delegado de policia",1472,1108,"2","Profissionais",364,32.9
"48",2018,395105,"tecnico de apoio em pesquisa e desenvolvimento (exceto agropecuario e florestal)",1466,368,"3","Técnicos",1098,298.4
"49",2018,222110,"engenheiro agronomo",1441,954,"2","Profissionais",487,51
"50",2018,301105,"tecnico de laboratorio industrial",1312,620,"3","Técnicos",692,111.6
"51",2018,223208,"cirurgiao dentista - clinico geral",1144,1596,"2","Profissionais",-452,-28.3
"52",2018,251205,"economista",1103,849,"2","Profissionais",254,29.9
"53",2018,204105,"perito criminal",1024,377,"2","Profissionais",647,171.6
"54",2018,334110,"inspetor de alunos de escola publica",1011,198,"3","Técnicos",813,410.6
"55",2018,223605,"fisioterapeuta geral",994,248,"2","Profissionais",746,300.8
"56",2018,515210,"auxiliar de farmacia de manipulacao",988,1324,"5","Serviços e Comércio",-336,-25.4
"57",2018,516705,"astrologo",974,1269,"5","Serviços e Comércio",-295,-23.2
"58",2018,261125,"jornalista",970,223,"2","Profissionais",747,335
"59",2018,351505,"tecnico em secretariado",911,180,"3","Técnicos",731,406.1
"60",2018,422205,"telefonista",890,1313,"4","Serviços Administrativos",-423,-32.2
"61",2018,412205,"continuo",880,1115,"4","Serviços Administrativos",-235,-21.1
"62",2018,422105,"recepcionista, em geral",878,1001,"4","Serviços Administrativos",-123,-12.3
"63",2018,301110,"tecnico de laboratorio de analises fisico-quimicas (materiais de construcao)",792,491,"3","Técnicos",301,61.3
"64",2018,313130,"tecnico eletricista",765,115,"3","Técnicos",650,565.2
"65",2018,241005,"advogado",755,620,"2","Profissionais",135,21.8
"66",2018,261305,"arquivista",734,169,"2","Profissionais",565,334.3
"67",2018,221105,"biologo",708,307,"2","Profissionais",401,130.6
"68",2018,223305,"medico veterinario",695,192,"2","Profissionais",503,262
"69",2018,766420,"auxiliar de radiologia (revelacao fotografica)",659,881,"7","Produção e Indústria I",-222,-25.2
"70",2018,517410,"porteiro de edificios",620,855,"5","Serviços e Comércio",-235,-27.5
"71",2018,513425,"copeiro",610,809,"5","Serviços e Comércio",-199,-24.6
"72",2018,142105,"gerente administrativo",588,221,"1","Dirigentes",367,166.1
"73",2018,717020,"servente de obras",551,2501,"7","Produção e Indústria I",-1950,-78
"74",2018,312305,"tecnico em agrimensura",522,289,"3","Técnicos",233,80.6
"75",2018,514225,"trabalhador de servicos de limpeza e conservacao de areas publicas",502,133,"5","Serviços e Comércio",369,277.4
"76",2018,351815,"papiloscopista policial",495,265,"3","Técnicos",230,86.8
"77",2018,321110,"tecnico agropecuario",479,103,"3","Técnicos",376,365
"78",2018,239410,"orientador educacional",477,178,"2","Profissionais",299,168
"79",2018,352310,"agente fiscal de qualidade",447,362,"3","Técnicos",85,23.5
"80",2018,321105,"tecnico agricola",445,488,"3","Técnicos",-43,-8.8
"81",2018,513205,"cozinheiro geral",429,802,"5","Serviços e Comércio",-373,-46.5
"82",2018,715505,"carpinteiro",398,276,"7","Produção e Indústria I",122,44.2
"83",2018,715210,"pedreiro",330,557,"7","Produção e Indústria I",-227,-40.8
"84",2018,951105,"eletricista de manutencao eletroeletronica",329,357,"9","Reparação e Manutenção",-28,-7.8
"85",2018,514325,"trabalhador da manutencao de edificacoes",295,2488,"5","Serviços e Comércio",-2193,-88.1
"86",2018,214915,"engenheiro de seguranca do trabalho",292,102,"2","Profissionais",190,186.3
"87",2018,782625,"auxiliar de maquinista de trem",292,536,"7","Produção e Indústria I",-244,-45.5
"88",2018,241210,"procurador autarquico",289,219,"2","Profissionais",70,32
"89",2018,318005,"desenhista tecnico",289,200,"3","Técnicos",89,44.5
"90",2018,317205,"operador de computador (inclusive microcomputador)",278,359,"3","Técnicos",-81,-22.6
"91",2018,413110,"auxiliar de contabilidade",267,161,"4","Serviços Administrativos",106,65.8
"92",2018,412110,"digitador",265,464,"4","Serviços Administrativos",-199,-42.9
"93",2018,262610,"musico arranjador",253,115,"2","Profissionais",138,120
"94",2018,351810,"investigador de policia",246,445,"3","Técnicos",-199,-44.7
"95",2018,641010,"operador de maquinas de beneficiamento de produtos agricolas",228,162,"6","Agropec., Florestais e Pesca",66,40.7
"96",2018,414105,"almoxarife",225,223,"4","Serviços Administrativos",2,0.9
"97",2018,517420,"vigia",212,267,"5","Serviços e Comércio",-55,-20.6
"98",2018,622010,"jardineiro",206,347,"6","Agropec., Florestais e Pesca",-141,-40.6
"99",2018,214105,"arquiteto de edificacoes",203,126,"2","Profissionais",77,61.1
"100",2018,515110,"atendente de enfermagem",195,147,"5","Serviços e Comércio",48,32.7
"101",2018,241230,"procurador federal",193,2288,"2","Profissionais",-2095,-91.6
"102",2018,223905,"terapeuta ocupacional",189,124,"2","Profissionais",65,52.4
"103",2018,771105,"marceneiro",185,207,"7","Produção e Indústria I",-22,-10.6
"104",2018,142325,"relacoes publicas",181,234,"1","Dirigentes",-53,-22.6
"105",2018,724110,"encanador",176,212,"7","Produção e Indústria I",-36,-17
"106",2018,262405,"artista (artes visuais)",166,247,"2","Profissionais",-81,-32.8
"107",2018,313210,"tecnico de manutencao eletronica (circuitos de maquinas com comando numerico)",164,208,"3","Técnicos",-44,-21.2
"108",2018,314105,"tecnico em mecanica de precisao",159,149,"3","Técnicos",10,6.7
"109",2018,223415,"farmaceutico analista clinico",132,320,"2","Profissionais",-188,-58.8
"110",2018,318015,"desenhista detalhista",130,272,"3","Técnicos",-142,-52.2
"111",2018,710205,"mestre (construcao civil)",122,125,"7","Produção e Indústria I",-3,-2.4
"112",2018,318105,"desenhista tecnico (arquitetura)",113,124,"3","Técnicos",-11,-8.9
"113",2018,414110,"armazenista",111,100,"4","Serviços Administrativos",11,11
"114",2018,517315,"agente de seguranca penitenciaria",109,124,"5","Serviços e Comércio",-15,-12.1
